isos,enu_tfec_total_pc,enu_trp_total_pc,enu_hhcops_elec_pc,enu_hhcops_total_pc,ns_prosupp_pc,ns_hale,ns_unempl,ns_edu_bas,ns_h20_acc,ns_san_acc,ns_undernourished,ns_pov_gap_320,ns_pov_hcratio_nationalline,ns_doctors,ps_roadkm_pc,ps_gini,ps_gdp_ppp_pc,ps_ge,ps_va,ps_growth,ps_xpd_hlth_gov2tot,ps_xpd_gov_edu2tot,ps_soc_sec_cov,ps_unions,ps_corp_power,ps_fdi,ps_veh_pc,ps_pop_urb,ps_age_1564,ps_res_rent,ps_elec_acc,ps_nsolfuel_acc,ps_rail_pkmpc,ps_infra_qual,ps_tax_rev,ps_aid,ps_remitt,ps_soc_contr,ps_expo,ps_impo,ps_hdd,ps_cdd,ps_tmin,ps_tmean,aux_pop,aux_gdp_ext,aux_tfec_ext
ABW,,,,,,,,,98.1,97.7,,,,,,,34830.98,1.231319,1.257616,0.8914471,,,,,,,,42.364,69.10531,,90.87544,,,,,,,,65.24135,82.43333,,,,,102393,,
AFG,,,,,58.91,50.75462,8.5,36.53333,51.6,30.5,23.2,,38.3,0.245,,32.6,1772.765,-1.397558,-1.319379,6.87505,34.28332,12.82317,8.820582,,,0.2995921,0.0502277,25.468,51.19995,1.752003,43,19.48096,,2,7.471639,0.3410356,1.225799,0.4534526,18.96654,62.62026,,,5.5,12.6,29726800,57500130000,
AGO,22.63459,5.115132,0.5094855,14.43641,55.59,52.46988,6.9,47.42121,47.8,49.1,35.1,,,0.1311,,43.5,6645.085,-1.02327,-1.071316,1.101899,64.67321,,,,,-5.977515,0.03394219,41.699,49.54495,38.15204,37,44.29522,,2.48,18.83668,0.002696487,0.00003899535,2.406705,55.94013,35.85997,801,10044,14.8,21.55,22685630,153315800000,513480000
AIA,,,,,,,,,,,,,,,,37.7,,1.516753,1.059505,,,,,,,,,,,,,,,,,,,,,,,,21.7,,,,
ALB,26.26707,10.5822,5.426435,9.584011,111.31,67.22797,13.9,60.85194,95.4,92.1,6,1.6,14.3,1.2658,,38.7,10369.56,-0.2803275,-0.002466852,2.207744,48.94649,,54.88551,14.1,,7.468318,0.1250776,54.33,68.5703,5.207158,100,62.08641,0.00001103354,2.43,,0.02915088,8.336632,,28.93749,47.57271,6361,3546,6.3,11.4,2900247,30050720000,76181000
AND,,,,,,71.03071,,67.02866,100,100,,,,4,,,,1.516753,1.427852,0,76.14659,,,,,,,86.708,,0,100,100,,,,,,,,,,,2.9,7.6,79316,,
ARE,237.4804,44.68764,26.8106,27.78272,102.25,62.69592,4,67.3215,99.6,97.5,5,,,1.5167,,,57851.7,1.137964,-1.01277,2.29038,73.9996,,,,27.13441,2.364133,0.1877679,84.684,85.54967,26.10203,97.69783,99.99,,3.84,0.3649174,,,7.259738,100.2465,64.00285,372,14715,21,27,8952542,547653800000,2126053000
ARG,59.0685,17.80639,5.787687,17.12646,101.97,66.33842,7.2,78.33556,98.6,95.5,3.7,0.9,,3.9066,,39.6,19392.31,-0.254902,0.2576525,1.416612,58.95442,15.06353,41.05499,30,6.240224,2.791577,0.2726437,91.295,63.83146,4.266946,99.8,99.12235,0.0002040136,2.94,,0.0004115445,0.1050185,,16.23786,14.28868,4233,5232,8.2,14.8,42095220,828712200000,2486502000
ARM,30.03654,7.464563,3.537206,11.04911,87.75,65.07875,17.3,70.13667,99.7,89.5,5,3.4,32.4,2.8991,0.002616223,34.2,7505.125,-0.03641658,-0.5784446,5.678332,41.84773,13.70187,65.03766,35.2,1.244423,4.676728,,63.161,70.16045,4.098314,100,92.53452,0.00001678788,2.38,17.49164,0.02671068,18.03302,13.07905,27.56672,48.40002,14816,636,1.3,7.15,2978339,22045240000,89459000
ASM,,,,,,62.07579,,,100,62.5,,,,,,,,0.4774332,1.059505,0,,,,,,,,87.413,,,59.32891,,,,,,,,74.84472,99.84472,,,,,55227,,
ATG,,,,,79.05,67.0532,,68.11414,97.9,,,,,,0.01313588,,20283.9,0.4774332,0.6570508,0.02417564,67.81238,,,,,10.73842,,25.135,67.46455,,90.87544,99.98111,,,18.57519,0.001896554,1.731219,,45.27974,58.50111,,,,26,89069,1866560000,
AUS,147.1077,57.34347,19.48412,32.38559,104.51,70.46131,5.2,92.65355,100,100,2.5,0.5,,3.2976,0.03621998,33,42854.89,1.612136,1.503631,1.413703,67.17297,13.18429,,18.2,90.20448,3.747493,0.7053932,89.015,67.07351,8.319479,100,100,,3.83,21.31819,,0.1587428,,21.48083,21.72952,1674,4033,14.9,21.65,22728250,968139400000,3343501000
AUT,136.1961,39.13622,13.22836,45.92449,103.44,69.69028,4.3,79.4481,100,100,2.5,0.5,,4.845,,27.9,44551.62,1.557239,1.457385,1.374733,75.36733,10.70825,,28,26.02941,1.28129,0.5943067,65.864,67.31783,0.4319619,100,100,0.001228115,4.05,25.71534,,0.743615,32.34543,53.97367,51.1785,15707,1122,2.3,6.35,8429991,386584600000,1148132000
AZE,35.09548,9.902016,4.243752,14.99648,91.57,61.23201,5.2,69.97778,84.5,84.7,2.5,,6,3.4901,,,15888.67,-0.7780845,-1.252067,-0.1946449,22.55673,5.72184,,,,7.701412,0.1202975,53.856,72.1197,40.41904,100,92.74387,0.00006357721,2.42,12.95583,0.004771709,2.895612,6.292326,52.97468,25.28839,11538,1599,6.7,11.95,9295784,150414000000,326240000
BDI,,,,,,51.77806,7,37.00889,75.3,47.5,,51.5,64.9,0.0477,,33.9,748.0755,-1.311597,-0.8913693,0.6366849,60.07716,16.42836,,,,0.02446705,0.005926176,11.189,53.15629,16.71798,6.5,1.999998,,1.68,,0.2399548,1.878091,,9.700001,33.99999,7,4548,13.8,19.8,10124570,7391278000,
BEL,150.3917,31.94672,13.52549,48.50881,98.95,68.68255,7.5,81.22917,100,99.5,2.5,0.2,,2.9397,0.01383974,25.6,40990.04,1.590693,1.34894,-0.08670092,77.67072,,,55,60.16624,1.342528,0.555706,97.732,65.66633,0.05846914,100,100,0.0009748167,4.12,25.71353,,2.134477,34.99225,80.40449,80.34154,7625,1120,5.5,9.55,11128250,466614700000,1673596000
BEN,14.3195,4.812935,0.2748316,9.243276,64.48,53.57646,1,41.35556,76.2,18.4,10.8,38.5,36.2,0.1646,,40.9,1855.936,-0.5264922,0.09363568,0.9723186,44.35152,25.02131,,,,3.468784,0.021891,42.667,54.09701,5.361767,38.4,6.212926,,2.57,14.47645,0.06904821,2.559725,2.953587,23.01717,31.73452,91,19591,21.7,27.55,10049790,18359050000,143908000
BFA,,,,,80.54,51.12867,3.3,25.00333,81.7,18.6,20.3,32.2,40.1,0.0475,0.0009205095,34.4,1521.452,-0.6303672,-0.3354219,3.364587,55.94955,15.89539,,,,2.949122,0.01271788,27.346,51.40244,18.56991,13.1,5.291492,,2.4,15.6261,0.1135438,1.880634,,25.51852,37.16053,304,17259,21.5,28.25,16590810,25676760000,
BGD,6.585825,0.8173782,0.3695798,3.45664,54.64,61.25034,4.5,44.68805,84.8,57.7,16.9,19,31.5,0.3879,0.0001369919,36.8,2791.172,-0.8250402,-0.4134826,5.236948,31.95123,14.6635,17.77091,,37.08045,1.188103,0.003578722,31.99,64.13115,3.83704,59.6,10.90526,0.0000470509,2.302273,8.685927,0.01615145,10.58794,,20.16159,27.94933,269,19774,20.4,25,155257400,429252800000,1022498000
BGR,54.75406,16.75279,9.367924,19.34234,81.52,64.60148,12.3,74.94072,99.5,86,5.4,1.8,21,3.9121,0.002670723,33.2,15772.08,0.1362748,0.3841386,1.525915,56.2903,10.69092,,11.4,14.49214,3.337236,0.4375418,72.971,67.23235,2.416745,100,88.50191,0.0002567792,3.2,18.60871,,2.704311,21.86603,60.79919,63.99176,9350,3645,5.6,10.55,7305888,117609000000,400027000
BHR,159.6586,33.70184,29.32189,31.98765,,67.08559,3.7,71.39667,100,99.2,,,,0.9568,0.003090935,,40967.41,0.540372,-1.324512,0.01678467,63.27802,8.94804,,,57.11992,2.897678,0.3668907,88.619,77.32204,23.70512,97.69783,100,,3.08,1.081071,,,,102.1454,83.73905,,,20.5,27.15,1333577,54666730000,212917000
BHS,,,,,90.8,64.87335,14,71.39547,98.4,92,,,,2.264,0.007250502,48.6,30079.26,0.9682398,0.9176641,-0.1742303,44.39035,,,,,6.389859,0.3384508,82.667,70.79363,0.03796492,100,100,,2.77,,,,,38.12695,46.12378,,,19.8,24.85,372388,8652358000,
BIH,35.0061,11.48725,4.325284,8.851173,88.96,65.68159,28.1,65.53182,99.5,94.8,2.5,0.1,17.9,1.9259,0.005988373,40.1,10061.13,-0.4680717,-0.1411553,0.07255077,71.23125,,,30,12.15314,2.27796,0.1782213,39.378,71.61348,4.084406,100,41.72257,0.00001436624,2.86,20.50072,0.03451459,10.72631,38.9215,32.35054,55.79457,8106,3068,,9.85,3828419,37154860000,134018000
BLR,101.7301,18.02673,5.289518,33.61834,99.55,62.3163,5.9,81.99841,99.7,94.4,2.5,0,6.3,3.8809,0.009128487,23.1,17472.32,-0.9395957,-1.548103,3.762245,77.1882,13.18072,77.24999,,,2.300699,0.3379453,75.467,70.86088,2.602099,100,99.52535,0.0009485419,2.78,15.14021,0.001794023,1.655416,34.85947,78.77691,74.30836,15734,1485,2,6.15,9464000,162954500000,962774000
BLZ,,,,,71.66,64.74073,14.4,68.88889,99.3,90.2,6.4,,,1.1494,0.008523731,47.1,7738.489,-0.1767883,0.6953493,0.584352,65.60983,,39.38702,9.1,,12.34107,0.1119519,44.496,61.88348,7.172131,100,85.89262,,,22.6444,0.01731261,4.826178,,64.4528,63.80358,,,21,25.3,336707,2732190000,
BMU,,,,,88.67,71.05292,,,,,,,,,0.006898361,,52137.3,0.997093,1.059505,-3.848958,,,,23,26.85129,0.8598425,0.4045341,100,,,100,,,,,,21.5037,,46.76157,28.65509,,,16.6,,64798,3440625000,
BOL,24.31759,9.076976,1.383175,5.294488,65.09,62.39392,2.7,67.35,88.5,48.4,22.7,6.9,43.3,0.4734,0.007861107,43.7,5715.525,-0.3737482,-0.1185448,3.50405,67.88505,17.82875,76.75464,39.1,16.41168,3.91355,0.06077825,67.279,60.04215,18.04076,90.5,76.21244,,2.39,,0.03075822,4.10025,,47.1662,37.78256,4664,4481,15.2,21.55,10238760,60406460000,248982000
BRA,46.4076,16.3666,4.220787,7.276,93.58,64.72601,6.1,66.13056,97.5,81.6,2.5,3.4,,1.85375,0.007811026,45.5,15214.76,-0.1243111,0.4319696,1.94062,44.32147,15.56961,46.37658,16.9,49.88287,3.519648,0.1844387,84.901,68.49413,5.829902,99.5,94.27836,,3.07,14.09373,0.0005919351,0.1131434,25.31249,11.87756,13.23673,123,13189,19.7,24.95,202401600,3085867000000,9392971000
BRB,,,,,87.05,67.87273,11.6,73.97778,99.4,94.9,4.7,,,1.811,0.005682222,48.3,16270.09,1.452217,1.183499,0.1396179,65.16825,13.68958,,,104.8077,10.13618,0.3617764,31.769,67.38476,0.7874988,90.87544,99.82736,,,26.14156,,2.807985,0.01964351,42.60596,47.15195,,,22.4,26,281580,4413252000,
BRN,195.4171,46.57076,26.59354,30.74385,90.57,65.76351,3.8,69.21111,,,2.8,,,1.4911,0.007469569,,82149.91,0.8343759,-0.4996582,0.6314635,91.82088,9.72782,,,,5.101633,0.5767301,76.223,71.93942,38.36057,76.16138,100,,,,,,,70.15923,35.47872,,,22.9,26.85,405512,30086970000,79244000
BTN,,,,,,62.68712,2.1,42.12444,98,49.4,,3.3,12,0.2576,0.01422327,42.9,7547.826,0.4773473,-0.3123512,4.778862,72.92045,,2.91698,,,1.336885,,36.368,66.47771,20.02859,75.56256,62.65635,,2.29,9.235527,0.08573798,0.9949448,,38.72533,63.03859,,,1.2,7.4,743711,5392971000,
BWA,39.73093,14.43018,2.604999,13.22379,65.97,54.09661,17.7,61.9,96.1,62.4,25.1,14.25,19.3,0.392,0.008400138,58.9,14284.12,0.4473828,0.5029516,3.131008,63.06223,,73.77427,,,5.824881,0.1539439,56.699,63.93708,3.995688,53.24,62.47225,,2.82,26.85083,0.005207444,0.1236119,,49.25074,61.40415,2590,6271,13.6,21.5,2132822,30309550000,84739000
CAF,,,,,52.8,42.92502,6.9,31.78667,68.2,21.5,37.5,,,0.0547,0.004389653,,1063.297,-1.461895,-1.263902,1.133108,48.80223,,,,,3.206468,,39.258,56.12408,10.51367,10.8,3.21824,,2.497619,9.392467,0.1088282,,1.090552,11.55013,21.50932,41,15989,18.3,24.9,4619500,4276340000,
CAN,238.1354,71.90888,26.8228,68.72473,104.6,70.35905,7.2,85.03,99.8,99.8,2.5,0.3,,2.3962,0.02999297,31.5,41845.18,1.753654,1.443793,1.335156,70.98055,,,29.3,112.9193,2.706688,0.6245778,81.293,68.90301,5.44478,100,100,0.00008002538,3.99,11.77859,,0.06878427,23.15766,30.42624,32.3203,16928,1417,-10.1,-5.35,34751480,1464565000000,8275558000
CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHE,103.6378,31.49048,16.14221,48.45051,92.1,71.17196,4.2,84.40892,100,99.9,2.5,0,,3.8987,0.008936507,29.2,56149.69,1.876984,1.666388,0.3672123,64.705,16.09951,,16.6,185.3657,3.950606,0.5865682,73.739,67.78964,0.03621561,100,100,0.00221812,3.98,9.505167,,0.3631859,39.77486,67.03362,56.64877,18152,581,2,5.5,7996861,457463400000,828777000
CHL,60.12611,17.96568,4.029402,17.84554,85.25,68.37154,6.4,74.56753,98.7,98.8,3.8,1.25,18.3,1.0328,0.004472168,46.1,21219.18,1.252296,1.063065,4.507768,48.02695,19.2781,85.89567,16.6,118.1327,10.72913,0.215258,88.986,68.69878,17.45634,99.6,92.96165,0.00004830797,3.18,19.13027,0.0005255218,0.06419472,6.272499,34.12186,34.14999,11927,431,3.5,8.45,17388440,371592600000,1045499000
CHN,52.67705,7.39512,2.308979,13.69058,97.38,67.38379,4.5,60.96667,93.2,73.1,10.6,6.2,10.2,1.5467,0.003040203,40.7,11115.11,0.00636129,-1.585986,8.090412,55.95603,,,41.2,43.69582,2.850681,0.08086208,51.889,74.21851,7.111275,100,54.86806,0.000589059,3.61,10.3941,0.000001065266,0.2016826,,25.49252,22.775,9563,6427,0.9,6.95,1350695000,15154700000000,71150630000
CIV,13.73733,1.557815,0.5794062,11.02947,58.67,51.0131,4.1,38.92222,81.2,21.6,21.5,23.3,46.3,0.1541,,37.3,2696.192,-1.110583,-0.8142912,0.4884958,30.68496,,,,31.27057,1.221404,0.03980545,52.041,53.75772,10.20507,55.8,19.1235,,2.31,14.25743,0.1029543,1.357617,,48.92886,44.74562,20,20278,21.1,26.35,21102640,59165500000,289894000
CMR,11.88666,1.863941,0.3705536,9.277505,69,51.09194,4.1,48.57889,74.1,45.2,8.9,18.7,37.5,0.0898,0.002370785,39.7,2964.553,-0.9040274,-1.030722,1.756835,24.58444,15.17625,,6.15,,1.992267,0.01431243,52.677,53.62903,11.08667,53.7,21.93011,0.00002285373,2.24,,0.02365616,0.794875,,26.1182,30.26891,113,13548,19.1,24.6,21659490,58813180000,257459000
COD,11.76118,0.4403825,0.1265308,8.763791,,50.41772,8.2,37.17778,51.4,27.6,,57.6,63.9,0.09,,38.4,706.3672,-1.65863,-1.50882,3.645122,44.80888,,,,,-1.531266,0.02451233,40.95,50.66578,39.02607,16.4,5.004734,0.0000003129839,1.96,8.774573,0.1233044,0.04442118,,30.80301,37.5487,20,13160,,24,70291160,45857150000,826707000
COG,18.05124,5.281616,0.3417956,11.91525,49.74,52.22824,6.6,51.13334,75.3,14.6,39.2,29.1,40.9,0.1159,,43.8,5415.114,-1.201714,-1.152004,0.9147286,79.2039,,,,,15.7326,,64.1,53.93742,67.40829,41.6,24.82746,0.00004829466,1.27,7.595977,0.01100653,,2.754064,83.77515,60.32927,1,17298,19.8,24.55,4286188,24873130000,77371000
COK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL,22.19363,8.360805,2.532923,5.98688,64.15,69.66357,10.6,60.22224,91.2,80.2,9.9,5.7,32.7,1.74,0.004369679,49.6,11996.22,0.01088164,-0.09990023,4.221916,76.11646,15.51283,48.8641,9.9,70.90339,4.068455,0.0968409,75.603,68.23528,11.15258,97,85.88207,,2.72,13.27213,0.002440662,1.087128,20.07504,18.82874,20.04266,1,9036,19.6,24.5,46881020,565312900000,1040460000
COM,,,,,,58.42329,6.5,45.04198,90.1,34.2,,15,42.4,0.1699,,46.9,2483.41,-1.545724,-0.5199243,0.3202081,37.23816,18.49151,,,,1.884873,,28.029,56.33842,3.518213,69.3,25.52372,,1.94,,0.1263188,20.02079,,8.945869,31.86455,,,21.6,25.55,733661,1012244000,
CPV,,,,,72.03,64.91185,9.1,48.34667,90.3,68.1,14.7,,35,0.5058,0.00269531,43.2,6090.554,0.1033421,0.9279619,1.435864,72.45819,,,,,7.360737,,63.389,63.95831,0.6322622,70.56256,68.65354,,,18.42064,0.1456247,10.1578,,40.4318,59.84534,,,,23.3,500870,3133844000,
CRI,31.11526,14.2677,5.213629,7.779082,74.35,70.22533,7.8,65.39216,97.5,94.3,5.4,1.5,20.6,1.1497,0.008383489,45.7,13777.76,0.4875459,1.063006,3.608632,73.22655,23.50156,67.33135,13.7,3.633653,5.951999,0.2033257,73.94,68.35,1.023112,99.5,94.17988,,2.6,13.66392,0.0007767174,1.241356,35.57787,32.16957,35.97497,1,22626,19.6,24.8,4654148,64410940000,144815000
CSHH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUB,21.78436,1.622022,3.190706,4.948411,86.55,69.30153,3.2,74.28778,94.1,92.7,2.5,,,7.2099,,,,-0.4193431,-1.431334,2.752006,94.15131,,,,,,0.03941537,76.781,69.90121,3.469385,100,93.07672,,2.08,,0.001299674,,,25.511,20.3552,1,23521,20.4,25.2,11342630,224822000000,247092000
CUW,,,,,,,,,,,,,,,,,27638.76,,,,,,,,,,,,,,,,,,,,,,75.6852,99.95072,,,,,,,28195000
CX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYM,,,,,,,,,97.4,95.6,,,,,,,62468.56,1.231319,0.5397995,0.9192944,,,,,,,,100,,,90.87544,,,,,,,,,,,,,,57522,,
CYP,56.13374,25.3413,11.71076,20.93592,81.11,69.93845,11.8,77.61983,100,100,4.8,0,,2.2958,0.01771535,30.6,31749.56,1.377763,1.004479,-3.028232,45.8618,,,48.5,8.002012,30.64798,0.5244828,67.261,70.74062,0.1097048,100,100,,3.17,23.31861,,2.225838,22.00627,55.31226,57.22534,,,13.1,18.45,1129303,27577510000,63392000
CZE,100.6828,23.05441,9.764542,36.39947,86.86,66.71781,7,86.62222,100,99.1,2.5,0.1,8.6,3.6483,0.01243114,25.4,28527.14,0.9175432,0.9438059,0.3488421,84.0198,9.74072,,14.8,,4.569428,0.5142337,73.115,69.06468,0.7535504,100,99.99,0.0006571346,2.96,13.46926,,0.6825806,43.09545,76.17007,71.36739,13836,1394,3.3,7.55,10510790,301952900000,1058255000
DEU,114.5841,27.73804,12.87181,46.71444,101.81,69.70559,5.4,88.43719,100,99.2,2.5,0,,3.9152,0.008019812,28.8,42639.89,1.574946,1.394152,2.872956,76.06601,11.2171,,18.3,41.99086,1.849474,0.578645,74.688,65.90567,0.1924608,100,100,0.0009973164,4.26,11.57286,,0.4491566,54.36677,46.30712,40.20694,11711,969,4.6,8.5,80425820,3506575000000,9215519000
DJI,,,,,64.28,57.05684,,30.58778,89.9,47.3,20.2,16.2,,0.22465,,39,,-1.096271,-1.416969,3.279877,58.77743,,21.8504,,,8.126151,,77.117,62.57853,1.776645,53.26256,84.27214,,1.51,,0.1170188,2.457507,,,,,,22.8,28,853069,2501397000,
DMA,,,,,81.14,64.47754,,60.7498,,,5.9,,,,0.02109228,43.5,10134.37,0.6603047,0.9745826,-0.9898007,68.52083,,,,,4.771868,,68.681,,0.09628668,92.66676,93.80656,,,23.10687,0.05413318,4.791758,,34.06612,49.62875,,,18.9,22.35,71685,731636800,
