isos,enu_tfec_total_pc,enu_trp_total_pc,enu_hhcops_elec_pc,enu_hhcops_total_pc,ns_prosupp_pc,ns_hale,ns_unempl,ns_edu_bas,ns_h20_acc,ns_san_acc,ns_undernourished,ns_pov_gap_320,ns_pov_hcratio_nationalline,ns_doctors,ps_roadkm_pc,ps_gini,ps_gdp_ppp_pc,ps_ge,ps_va,ps_growth,ps_xpd_hlth_gov2tot,ps_xpd_gov_edu2tot,ps_soc_sec_cov,ps_unions,ps_corp_power,ps_fdi,ps_veh_pc,ps_pop_urb,ps_age_1564,ps_res_rent,ps_elec_acc,ps_nsolfuel_acc,ps_rail_pkmpc,ps_infra_qual,ps_tax_rev,ps_aid,ps_remitt,ps_soc_contr,ps_expo,ps_impo,ps_hdd,ps_cdd,ps_tmin,ps_tmean,aux_pop,aux_gdp_ext,aux_tfec_ext
DNK,103.296,30.06489,13.12547,47.37004,103.81,69.22346,7.5,87.28261,100,99.6,2.5,0,,3.6461,,25.1,44336.82,1.965262,1.692594,0.1421928,85.75943,,,69.8,,0.8473313,0.4837638,87.142,64.95116,2.139176,100,100,0.001367057,4.07,33.33044,,0.3918543,2.746726,54.63049,48.61048,8519,366,4.3,7.5,5591572,247406500000,577587000
DOM,23.06363,9.148564,2.934111,7.151427,56.08,64.62801,14.7,59.01706,85.4,82.9,13.6,3.1,41,1.4943,,45.3,11754.27,-0.5501992,0.08700065,1.416659,63.36142,,35.54824,10.3,,5.637254,0.1411524,76.039,62.93089,0.9948967,98,90.54108,,2.61,13.07312,0.004795017,7.033736,1.58006,24.58318,33.8055,1,21353,19.9,24.55,10155040,119220700000,234212000
DZA,34.09932,13.56217,1.419894,9.175755,90.18,65.73222,11,64.25889,84.9,87,4.9,0.8,5.5,1.207,0.003035703,28.5,13229.01,-0.5471287,-0.897813,1.198161,73.58242,,,,,0.7177331,0.1210756,68.87,66.73442,30.17796,100,99.99,0.0000277782,2.02,37.18585,0.000873764,0.1027716,,36.8898,28.51406,4743,4777,15.4,22.5,37439430,503655900000,1276659000
ECU,29.68249,15.11509,2.277183,5.77386,60.86,66.09826,4.1,59.38375,85.9,82.8,8.3,4.1,27.3,1.6654,,43,10285.87,-0.5100547,-0.3278479,5.057728,45.64174,10.34829,73.97964,,,0.6449113,0.1266579,63.088,63.65444,18.44981,97.2,96.17735,,2.62,,0.001970196,2.816308,,30.16481,31.5863,10,5779,15.6,21.85,15419490,162096400000,457689000
EGY,27.307,8.299399,3.935786,7.24418,103.78,59.99593,12.7,57.34444,98.8,94.7,4.4,3,26.3,1.812,0.001604349,47.3,9981.552,-0.8003782,-0.7654077,-0.1735151,36.06677,,,43.2,21.41533,1.012363,0.05449997,43.002,62.70658,11.43976,100,99.99,0.0004767286,3.07,12.52022,0.0081559,6.960799,,16.39697,24.3148,1948,7789,14.8,22.1,85660900,878240300000,2339142000
ERI,,,,,,51.73645,7.1,22.75137,57.5,15.3,,,,,,,2102.954,-1.511464,-2.1544,6.412911,46.49814,,,,,,,,,,36.0768,36.13269,,1.83,,,,,,,13,15348,18.9,25.5,,,21994000
ESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,
ESP,75.78224,26.4501,11.95517,22.87171,104.68,71.5136,25.2,79.4397,100,99.9,2.5,0.8,,3.8165,0.01460617,34.1,30904.79,1.107991,1.040571,-2.01962,71.72993,9.22981,,17,74.26328,1.859401,0.5875391,78.902,67.43711,0.1483231,100,100,0.0004786303,3.74,13.44777,,0.1555416,75.11407,31.45527,29.3901,7216,2604,7.9,13.3,46773060,1507757000000,3544567000
EST,92.65395,23.97754,12.22806,44.16132,97.75,65.71936,10.1,85.85333,99.5,97.2,3,0.6,21.8,3.278,0.04416132,33.4,25643.35,0.9607759,1.090193,6.72853,80.38232,12.05791,,6,,7.728637,0.5250556,67.835,66.51725,3.015616,100,88.33655,0.0001791795,2.79,1.025485,,1.991948,34.18829,85.56757,83.9242,16781,470,1.5,5.1,1322696,34285640000,122553000
ETH,16.80468,0.5082806,0.1184603,15.78375,61.94,56.62041,5.6,31.6522,51.6,24.3,28.9,28,29.6,0.022,0.001197663,28.6,1226.823,-0.4356956,-1.280015,7.110775,57.38248,30.53954,13.24795,9.6,,0.6431729,0.001540277,18.16,53.31366,15.50162,26.56256,2.191234,,2.22,9.209358,0.08969834,1.441585,,13.7673,31.63061,149,5309,15.5,22.2,92191210,115855100000,1549244000
FIN,194.4183,32.61396,26.74359,65.06278,116.36,68.99416,7.6,81.50889,100,97.6,2.5,0,,3.0693,0.08385712,25.5,40153.57,2.21447,1.617882,0.08128881,75.72231,12.81075,,67.3,,1.921589,0.4907496,83.819,65.33988,1.522931,100,100,0.000745294,4.12,20.26097,,0.335959,32.77745,38.80828,40.36222,19340,274,-2.4,1.7,5413971,218928000000,1052575000
FJI,,,,,78.11,58.52018,8.5,76.65174,95.6,91.1,4.4,2.9,34,0.8025,0.003935216,40.8,7612.228,-0.8991214,-0.8749733,-1.545191,66.3375,,,,11.37507,6.716181,,52.596,65.85526,3.254726,59.32891,59.6845,,2.22,,0.03273555,4.791966,,,,,,20.9,24.4,874158,6721207000,
FLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,98.73248,27.76495,16.32323,41.1528,111.25,70.99977,9.9,81.55494,100,98.7,2.5,0,,3.1711,0.01566325,30,37376.54,1.329258,1.22141,0.6384134,77.15762,9.73667,,8.1,67.4341,1.547564,0.5808426,78.82,63.78527,0.1271012,100,100,0.001304208,3.96,22.57374,,0.8456146,42.08998,29.20303,30.49903,8378,1335,6.5,10.7,65659790,2459768000000,6482754000
FRO,,,,,,,,,,,,,,,0.01983758,,,,,0,,,,,,,,41.323,,,100,,,,,,6.722316,,52.34993,62.61855,,,,,48393,,
FSM,,,,,,58.38223,,61.10845,89,57,,14.2,41.2,0.177,0.003748213,,3324.467,-0.6319329,1.000645,1.355064,90.76369,,,,,0.3069037,,22.317,60.33463,0.04994326,59.32891,58.30907,,,,0.4745867,6.384609,,29.88778,81.47113,,,,25.85,103516,361410400,
GAB,49.44254,4.526216,2.472902,30.16073,85.54,55.20591,20.3,58.93333,92.2,41.4,9.4,,,,,,16225.39,-0.7755252,-0.8708385,3.786635,70.57821,,,,,4.848008,,86.367,57.13122,48.08503,89.3,78.68134,0.00007313344,2,,0.00464524,,,60.95034,31.39247,1,18123,20.9,25.05,1613489,28912210000,79775000
GBR,84.31524,25.86779,11.98603,37.78453,103.4,69.34563,8,86.02602,100,99.2,2.5,0.2,,2.7279,0.006191933,33.1,37449.78,1.527082,1.324708,0.8276224,82.91119,,,26.1,,1.777277,0.5613945,81.834,65.46795,1.18216,100,100,0.001009791,3.95,25.47554,,0.1879782,21.15829,29.9751,31.14731,7252,225,5.1,8.45,63700300,2393177000000,5370906000
GEO,34.53725,9.414379,4.230327,13.6434,77.15,63.99732,15,77.03333,98.3,88.1,8.1,8.3,30,4.4392,0.004995817,40.9,8465.272,0.5654783,-0.00374218,8.185757,14.12169,6.70776,67.10555,,5.953638,5.245677,0.2099346,53.162,68.67574,1.850942,100,53.83455,0.0001655222,2.85,24.11828,0.05077574,11.1704,,36.51629,55.42599,14895,852,0.4,5.8,3825000,30701390000,132105000
GHA,10.47268,3.712884,0.6020459,4.072921,66.62,54.75085,3.6,55.27444,85.4,14.4,5.9,11.1,24.2,0.1686,0.004287214,38.3,3595.641,-0.07241686,0.4013304,8.930027,65.56659,37.68692,64.95248,22.4,7.831186,7.855368,0.0301434,52.069,57.55349,20.41859,64.06256,16.78118,,2.05,14.86579,0.04492437,5.139506,0.6069468,40.35922,52.80882,22,21277,22.1,27.2,25544560,95195500000,267520000
GIB,,,,,,,,,,,,,,,,,,,,0,,,,,,,,100,,,,,,,,,,,,,,,13.3,,31402,,
GIN,,,,,55.28,50.59933,1.7,29.44447,74.8,18.9,16.5,28.4,55.2,0.1,,32.3,1783.645,-1.278466,-1.058565,1.134729,38.93179,9.46061,,,,10.68247,,35.748,53.82737,27.3804,26.2,2.21827,,2.34,,0.06687173,1.169884,,33.13739,53.53693,99,16771,19.6,25.7,11628770,14181830000,
GLP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.3,,,,
GMB,,,,,62.08,55.24026,7,34.56111,90.1,58.7,9.4,20.8,48.1,0.038,0.002069605,40.2,2308.534,-0.5129521,-1.277616,-2.591228,59.96983,13.8003,,,,3.673671,,57.706,51.13895,6.266926,34.5268,5.01579,,1.9,,0.1440363,15.44989,,19.84168,27.85899,11,17009,20.4,27.5,1807108,2889890000,
GNB,,,,,43.77,49.45285,6.9,32.53333,73.6,20.2,22.6,49.6,69.3,0.0626,,41.6,1442.147,-1.243866,-1.394936,1.15937,26.69444,14.5398,,,,0.6654311,,46.924,55.58363,17.60874,60.60672,1.999998,,2.68,,0.0873797,4.583766,,15.47521,25.69778,8,17746,20.9,26.75,1714620,2370470000,
GNQ,,,,,,53.84619,6.9,41.49111,47.7,74.9,,,,,,,35887.82,-1.649574,-1.882653,0.7780194,83.12955,,,,,5.470291,,39.463,57.33196,56.74783,66,55.06391,,2.111111,18.76822,0.001076942,,,71.90499,44.77043,1,15662,20.6,24.55,773729,29723700000,
GRC,64.79115,21.29695,12.23403,26.48499,108.23,69.48995,24.2,79.69885,100,99,2.5,1.3,,6.0831,0.0105894,33.4,24364.27,0.3074923,0.6681736,-7.904494,67.88639,,,23,18.26695,0.6770557,0.5897176,77,65.5926,0.2023326,100,100,0.0001279311,2.88,23.56228,,0.2772927,30.73504,28.68399,33.13377,6191,4407,10.5,15.4,11045010,286950300000,715619000
GRD,,,,,68.96,65.28346,,72.39757,96.6,98,,,,,,,10846.56,0.3058267,0.7992005,-0.5785823,47.91797,,,,,3.936813,,35.601,65.8036,,90.87544,99.97887,,,18.66942,0.009987797,3.662334,,25.81517,49.46782,,,22.8,26.65,105476,1186875000,
GRL,,,,,,62.49716,,,100,100,,,,,,,,0.9667467,1.248198,0,,,,,,,,85.2,,,100,,,,,,,,37.51199,63.46641,,,-22.6,,56810,,
GTM,23.31958,5.04543,1.081219,16.02049,64.57,63.39525,2.9,48.38799,92,62.9,16.3,8.2,59.3,0.9039,0.001127742,44.9,6899.215,-0.7632619,-0.3875638,1.397026,33.93319,21.10514,64.31808,2.7,,2.507793,0.1052203,50.212,57.30776,3.711762,78.5,36.65956,,2.59,10.83596,0.006930959,9.983733,2.787881,24.86869,36.11378,1,14481,18.2,23.45,15368760,107297100000,358393000
GUF,,,,,,,,,,,,,,,,,,1.112248,1.114781,,,,,,,,,,,,,,,,,,,,,,,,21.6,,,,
GUM,,,,,,64.02962,,,99.5,89.8,,,,,,,,-0.04222662,0.8380574,0,,,,,,,0.6756466,94.273,65.59669,,59.32891,,,,,,,,19.31141,58.41508,,,,,162807,,
GUY,,,,,78.23,58.77621,11.2,58.16555,95.9,83.6,9.6,,,0.6898,,,6400.506,-0.1397996,-0.02140209,4.775918,66.0985,10.26061,,,21.42786,9.747281,,28.319,63.73373,24.40339,79.46677,93.38245,,2.15,,0.04584152,16.45854,,49.46664,69.78038,,,21.6,26,758410,4903585000,
HKG,50.34496,12.4081,20.08023,24.37676,129.29,,3.3,76.73666,,,2.5,,,,0.0002935175,41.3,50378.33,1.824478,0.6209081,2.300525,,18.64948,,24.8,1078.305,28.51437,0.08484052,100,74.62909,0.001660749,100,,,4.12,12.49966,,0.1396703,,215.8496,214.719,,,19.3,,7154600,366845400000,360198000
HND,24.3857,5.953751,1.667242,11.82826,64.28,62.97951,4,50.49632,89.3,80,15.1,16.2,66.5,0.9999,0.001905604,50.6,4072.168,-0.7174601,-0.4939959,2.409315,45.53901,,50.90285,,,5.761634,0.01799349,52.93,61.25013,3.742427,82.2,49.18562,,2.35,14.74747,0.03335876,15.76141,13.66272,50.9028,70.28542,1,14117,18.9,23.5,7736131,35834490000,188651000
HRV,62.60395,18.87051,10.12406,24.84958,83.53,66.51561,15.8,77.03345,99.4,97.1,2.5,0.8,19.5,2.9727,0.006316962,28.8,20341.41,0.6953918,0.5009897,0.484252,81.6086,,70.71854,29.4,36.23861,2.593772,0.3745767,58.074,66.66805,1.753631,100,91.65245,0.0002586959,3.35,19.57716,,3.690695,33.52649,39.52517,41.22797,8911,2929,6.2,10.9,4267558,89687080000,267166000
HTI,12.00516,1.306077,0.1046766,9.827066,47.21,53.97196,7,37.42778,58.5,26.7,49.6,20.3,58.5,0.1372,0.0004146245,52.8,1590.861,-1.626324,-0.7928326,2.721202,9.918557,,,,,1.977132,0.007481999,54.841,60.42941,1.996375,37.9,8.401752,,1.78,,0.1790674,20.4345,,16.9063,53.15794,1,22492,20.1,24.9,10288830,16607050000,123519000
HUN,68.96724,16.02421,8.034787,33.32398,80.67,64.60503,10.9,80.48938,100,98,2.5,0.3,15,3.1046,0.02052355,28.6,22674.19,0.6189724,0.7394423,0.4202604,63.43267,,,11.8,16.32395,8.349747,0.3485405,69.832,68.32444,0.6828929,100,88.50191,0.0005934259,3.14,23.01452,,2.775577,31.03234,86.32208,79.54806,11054,2816,4.8,9.75,9920362,225206600000,684180000
IDN,26.95503,7.444489,1.640588,10.78697,61.94,61.59314,6.1,60.3136,85.7,58.8,9.6,12.6,11.2,0.3075,0.002002142,42.3,9267.217,-0.2908397,0.0384284,4.716778,39.6062,18.09042,57.23614,7,46.65395,2.30978,0.07253788,51.488,66.58488,8.350654,96,59.2501,0.00008177381,2.54,11.38059,0.0002394522,0.7857537,,24.59438,24.98852,1,22485,21.1,25.85,248037900,2344875000000,6685868000
IMN,,,,,,,,,,,,,,1.449,,,,,,0,,,,,,,,52.042,,,100,,,,,,,,,,,,,,85779,,
IND,16.83401,2.432483,0.7569997,6.563499,59.18,57.89083,3.6,47.26667,92.2,37.5,17.3,19.7,21.9,0.6997,0.00371879,47.9,4817.197,-0.1812571,0.3788824,4.749036,26.97338,14.06268,29.70666,12.8,69.22537,1.314861,0.01790296,31.631,64.62701,6.13624,78.7,36.00028,0.0007743875,2.87,10.82881,0.000806554,3.771069,0.2404813,24.53443,31.25929,1075,15333,17.7,23.65,1263590000,6219189000000,21271290000
IRL,93.59399,31.72471,11.30285,36.87286,105.87,69.62871,14.7,88.70667,97.7,90.3,2.5,0.2,,2.6613,0.02093703,30.2,44766.47,1.529896,1.318145,1.066375,67.57265,13.83413,,31.1,48.51463,18.23336,0.4778326,62.386,66.8686,0.1246976,100,100,0.0003440234,3.35,22.55765,,0.3117647,16.67222,104.5096,87.02738,5747,34,5.9,9.3,4586897,211287800000,429306000
IRN,89.68559,23.2305,4.338342,30.16108,86.78,64.42111,13.1,68.34556,96,89.6,5.6,0.2,,1.1881,0.002611264,37,16827.02,-0.5414761,-1.582342,-2.803659,38.48316,17.03431,,,15.4963,0.7938794,0.1511711,71.769,71.71013,26.12222,100,99.98695,0.0002254816,2.42,7.679742,0.0003312911,0.226495,,24.12886,23.24419,9452,3353,10.1,17.25,76156980,1283533000000,6830183000
IRQ,30.84755,15.12145,1.826345,7.099966,62.39,63.28859,15.2,46.65556,86.1,84.8,26.4,3.9,18.9,0.75115,0.001809081,33.2,15032.58,-1.112922,-1.122541,7.12893,62.30939,,83.55954,,,1.559626,0.1013593,69.175,55.2858,45.2271,100,98.89752,0.000003034199,1.92,,0.007362358,0.1243114,,44.44873,29.10025,4705,7918,14.1,21.4,32957620,488219900000,1016662000
ISL,340.7625,35.30538,21.2088,94.67878,134.11,71.19756,6,84.68667,100,98.8,2.5,0,,3.5084,0.04019132,24.5,41076.61,1.485535,1.456888,1.160192,80.54619,,,85.1,,1.681946,0.7560957,93.84,66.65409,0.001179845,100,100,,3.39,22.23918,,1.106712,12.01455,55.01726,49.25024,,,-1.1,1.75,320716,12917920000,109288000
ISR,77.97054,23.18652,16.11137,25.40143,127.87,70.69656,6.9,85.42678,100,100,2.5,0.5,,3.3423,0.002347007,37.1,30658.07,1.251757,0.6240512,2.036035,62.90646,,,25,62.34476,3.261617,0.3333861,91.949,61.80933,0.3051367,100,100,0.0002436003,3.356151,21.9206,,0.2638152,17.47208,35.9519,36.01303,,,13.4,19.2,7910500,253085600000,616786000
ITA,88.39337,25.56017,9.659989,35.35143,109.1,71.1039,10.7,78.95058,100,99.5,2.5,1.1,,3.8608,,33.1,35411.48,0.4101397,0.8912679,-1.353794,75.34012,,,36.3,23.24498,0.001679455,0.7054115,68.56,64.89584,0.2190636,100,100,0.0006495832,3.74,23.59234,,0.4423665,34.02076,28.37924,27.27548,8003,3232,9.5,13.45,59539720,2137463000000,5262916000
JAM,28.35175,8.900936,2.757953,5.586443,76.29,66.1977,13.7,66.83556,93.8,81.7,9.2,,19.9,0.3541,0.008169347,,8016.387,-0.02194768,0.4370274,0.2373219,57.86974,18.80926,68.80756,,34.79144,2.802941,0.06569897,54.127,65.67274,1.344048,92.63344,87.62722,,2.27,26.95019,0.001899251,14.6943,2.85218,30.18371,51.85637,,,20.6,24.95,2707805,23179050000,76771000
JEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOR,31.36572,13.70544,4.560615,9.390873,80.08,66.88371,12.2,69.97251,96.9,98.6,9.5,0.4,14.4,2.2223,0.001029816,37.3,8979.519,-0.03648276,-0.7358284,-0.9509861,68.82613,,73.19309,,87.16824,4.891308,0.140683,82.97,59.93776,2.693605,99.5,99.99,0.00007205712,2.48,15.25759,0.04239806,12.43907,0.4807788,45.60721,73.23787,3417,5765,11.2,18.3,6994451,72967340000,219386000
JPN,101.8681,24.39386,18.24225,37.09414,88.57,72.53985,4.3,80.8,100,100,2.5,,,2.274,0.009554388,30.3,36367.6,1.396789,1.08682,0.8383393,82.69501,9.48014,,17.9,58.3966,0.009181462,0.5967789,91.902,62.58213,0.0294544,100,100,0.001917436,4.11,10.08218,,0.04263003,1.002593,14.54475,16.09137,6922,5526,7,11.15,127561500,4558489000000,12994450000
KAZ,103.9396,13.06048,3.27703,24.35731,94.87,60.54359,5.3,76.22667,93.1,97.5,2.5,0.1,3.8,3.4684,0.005801652,28.6,21986.32,-0.4413371,-1.157042,4.399991,55.80632,,48.3088,49.2,11.00325,6.321436,0.2482789,53.458,68.23293,36.05513,100,90.08195,0.001101634,2.6,,0.0008056876,0.08250855,,44.10966,29.61407,21162,2106,0.6,6.4,16791420,390383700000,1745294000
KEN,13.17757,1.570365,0.2601604,10.45564,62.58,55.15413,9.2,51.45555,61.6,29.6,22.4,28.4,36.1,0.1854,0.003781541,,2561.61,-0.5388474,-0.3053363,2.552152,60.52122,,,,24.31889,0.3241612,0.02558639,24.37,54.88588,3.367038,23,16.17237,,2.16,15.87837,0.06029123,2.402336,0.08631954,22.22735,35.53772,12,6348,18.9,24.75,42542980,115673800000,560613000
KGZ,26.37751,9.909402,4.714118,7.269582,85.48,61.67402,8.4,65.62889,87.6,93,7.3,4.7,38,1.9124,,32.1,2866.626,-0.6586882,-0.6439648,1.417625,60.18789,18.19559,58.31822,,2.497607,4.671091,0.1908023,35.403,65.33693,7.839483,100,73.17512,0.000013554,2.49,18.11669,0.09331202,30.75445,,44.4042,95.27174,29500,134,-4.6,1.55,5607200,16388180000,147904000
KHM,14.18726,3.238348,0.5763116,8.228621,64.78,59.27485,0.2,49.51778,68.8,37.2,18.6,,17.7,0.1651,0.003014309,36,2806.326,-0.8311046,-0.9608796,5.458724,24.09505,7.53607,3.085971,9.6,,10.26456,,20.137,63.64877,4.026108,31.1,11.44022,,2.2,11.09516,0.06037051,1.225968,,57.88976,62.70767,1,22299,22.3,26.8,14832260,42222350000,210429000
KIR,,,,,74.87,53.1362,,60.20705,66.7,39.7,3.1,,,0.17305,0.006283999,,1803.405,-0.8341485,0.7903357,0.842452,80.13277,,,,,-1.955233,,43.948,60.57025,0.112577,59.32891,54.17229,,,,0.379242,9.660899,,13.10895,91.76268,,,25.3,28.2,106620,181833900,
KNA,,,,,72.17,,,63.79126,98.3,,,,,2.523,,41.9,24000.83,0.8375437,1.137516,-0.9957492,41.04172,,,,82.19721,12.62696,,31.844,,,90.87544,100,,,20.19043,0.03270727,6.974736,,34.81713,43.96487,,,,24.5,53650,1096747000,
KOR,139.3389,25.34843,15.58502,34.53987,95.61,70.44302,3.2,86.45097,97.6,100,2.5,0.2,,2.0843,0.002099473,30.7,31776.9,1.198903,0.7032219,2.371085,54.92541,,,10.1,96.45179,0.7765656,0.3773665,82.141,72.91545,0.04723976,100,99.99,0.0004320216,3.74,14.43566,,0.5373701,16.07315,56.34024,53.54596,8992,4888,6.5,11.5,50004440,1611273000000,6967561000
